LigandID,Score,SMILES,OnBits
7128,30.1,S(C(=O)[C@@]1(OC(=O)c2occc2)[C@H](C)C[C@@H]2[C@@]1(C)C[C@@H](O)[C@@]1(F)[C@@]3(C)C([C@H](F)C[C@H]21)=CC(=O)C=C3)CF,"19,22,32,33,36,42,64,80,84,86,116,129,144,145,170,176,209,215,233,250,251,268,285,314,356,372,403,412,414,424,474,500,519,532,534,547,593,611,621,650,655,656,679,695,724,726,730,748,750,753,760,767,781,787,804,807,812,825,832,835,836,849,893,902,904,926,951,967,997,1002,1019"
3706,-1.0,S([C@@H]1CN(C(=[N+H2])C)CC1)C1=C(C(=O)[O-])N2C(=O)[C@@H]([C@@H](O)C)[C@@H]2C1,"91,140,147,457,807,844"
6904,82.1,ClC(Cl)[C@@H]1[C@@H](C)COC2([C@H](C)[C@H]3[C@@]4(C)[C@@H]([C@H]5[C@@H]([C@@]6(C)[C@@H](O)C[C@@H](O)CC6=CC5)CC4)C[C@@H]3O2)C1,"1,5,29,33,36,46,51,80,81,138,143,156,157,165,186,188,231,233,250,265,266,268,285,301,302,305,320,345,356,357,377,385,432,439,445,453,484,504,519,529,590,598,622,645,656,659,679,694,757,760,795,807,835,849,899,914,926,927,966,999,1009,1014,1017,1019"
1195,-4.7,O=C1C(CCCC)(CC)C(=O)NC(=O)N1,"33,36,80,90,224,243,294,314,325,327,356,440,543,570,591,650,713,794,795,887,900,950,1015"
4608,0.3,Clc1cc2nccc(Nc3c(C(=O)OC[C@H](O)CO)cccc3)c2cc1,"1,58,64,73,80,94,103,118,128,145,147,165,175,200,216,222,227,333,356,378,423,428,482,491,500,523,526,561,613,649,650,659,672,673,695,709,726,727,787,807,816,842,849,875,893,953,967,975,984,1014"
8648,101.3,O=C([O-])[C@@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@@H](O)[C@H](O)[C@H](O)[C@H](CO)O2)[C@H](O[C@H]2C(C)(C)[C@H]3[C@@](C)([C@H]4[C@](C)([C@@]5(C)C([C@H]6[C@@](C(=O)O[C@H]7[C@@H](O)[C@H](O)[C@H](O)[C@H](CO)O7)(CC5)CCC(C)(C)C6)=CC4)CC3)CC2)O1,"13,22,33,36,53,80,86,102,138,155,156,190,202,210,222,233,240,249,250,265,267,280,299,301,308,332,356,357,409,412,418,453,463,478,489,492,542,549,555,576,598,600,610,636,637,650,656,669,679,695,715,729,740,757,781,807,820,833,849,857,869,871,889,893,897,904,926,927,938,939,953,960,981,998,1010,1019,1020"
7773,130.9,O=C([O-])CC[C@@H]1N(C)C(=O)/C(=C(/[O-])\C=C\C=C\C=C\C=C\C=C\C(=C/[C@@H]([C@H](O[C@H]2O[C@@H](C)[C@H](O)[C@H](O)C2)C(C)C)C)\C)/C1=O,"1,31,33,52,64,80,94,121,139,169,173,177,178,202,233,241,267,268,276,283,285,295,314,325,334,356,407,408,432,463,479,481,485,495,540,550,551,636,650,656,658,687,689,692,694,695,715,718,722,734,735,745,749,785,807,832,849,878,879,889,893,897,926,935,1017,1019"
2858,-2.2,O=[N+]([O-])c1ccc(O[C@H]2[C@@H](O)[C@H](O)[C@H](O)[C@H](CO)O2)cc1,"13,80,171,210,222,233,250,299,322,356,463,489,492,524,610,650,656,695,696,715,718,726,740,753,769,785,790,807,819,820,838,849,897,939,953,964,1019"
2446,-3.1,O[C@H]1[C@H](C)[C@H]2[C@]34OO[C@@](C)(O[C@@H]3O1)CC[C@H]4[C@H](C)CC2,"25,33,36,38,46,138,147,214,233,250,265,284,285,301,352,501,519,529,562,576,611,656,661,683,709,785,801,807,835,861,864,892,897,906,926,1003,1019"
7418,68.8,O=C(O[C@@H]1[C@]2(O)O[C@@H]3[C@H](O[C@@H]2O[C@H](C)C1)C[C@H]1[C@@](C=O)([C@@H]2[C@@H]([C@@]4(O)[C@@](C)([C@H](C5=CC(=O)OC5)CC4)CC2)CC1)C3)C,"11,24,33,36,46,57,67,84,102,109,130,138,149,178,206,235,249,250,268,284,285,301,309,313,314,336,355,356,412,426,441,449,493,500,503,508,519,521,523,528,529,555,562,609,650,656,679,682,694,695,699,705,776,781,792,795,805,807,811,833,843,844,849,858,886,893,897,926,935,956,1001,1004,1008,1017,1019"
8582,41.3,O=C(N[C@H]1[C@H]([C@H](O)[C@H](O[C@]2(C(=O)[O-])O[C@H]([C@H](O)[C@H](O)CO)[C@@H](NC(=O)C)[C@H](O)C2)CO)O[C@@](O[C@H]2[C@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O)O[C@H]3CO)O[C@H](CO)[C@H]2O)(C(=O)[O-])C[C@@H]1O)C,"1,33,36,46,53,59,80,104,128,158,202,204,210,222,227,233,235,245,295,296,299,315,344,357,387,401,432,443,449,463,466,482,490,492,498,502,576,590,610,650,653,656,676,679,695,703,707,715,740,782,807,831,848,849,869,880,888,893,897,898,911,926,953,1017,1019,1020"
5496,22.5,O=C1c2c([O-])c([C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@H](CO)O3)c(O)cc2Oc2c1cc(O)c(O)c2,"13,16,48,64,80,210,221,222,233,254,271,314,333,356,406,463,486,492,501,525,578,580,583,589,610,624,650,656,670,715,740,751,752,784,789,807,820,827,849,875,897,912,917,960,989,1019"
2818,-1.8,S(=O)([O-])(=Nc1nc2c(nc1)cccc2)c1ccc(N)cc1,"64,73,132,144,147,168,175,250,285,289,319,343,350,356,369,377,378,404,428,433,452,511,641,650,715,725,726,758,780,831,849,857,881,888"
8042,113.1,O(C)c1c(OC)cc2[C@H]3[N+@@H](C)CCc2c1Oc1c2OCOc2c(OC)c2c1[C@H]([N+@H](C)CC2)Cc1ccc(Oc2c(OC)ccc(c2)C3)cc1,"91,140,147,457,807,844"
2098,-2.5,O=C1c2c([O-])ccc([O-])c2C(=O)c2c1c([O-])cc(C)c2,"33,154,203,271,314,352,356,378,419,445,452,464,587,624,650,662,698,715,723,726,787,799,849,875,929,973"
5153,0.3,O=C([O-])[C@@]([N+H3])([C@@H](O)[C@@H](O)C/C=C/CCCCCCC(=O)CCCCCC)CO,"91,140,147,457,807,844"
3177,-2.2,O=Cc1cc(OC)c(O[C@H]2[C@@H](O)[C@H](O)[C@H](O)[C@H](CO)O2)cc1,"13,25,33,39,80,94,210,221,222,233,249,299,356,463,489,492,512,524,610,650,656,694,695,696,726,740,804,807,820,825,841,849,875,897,946,953,963,1004,1009,1019"
